month,GPR,GPRT,GPRA,GPRH,GPRHT,GPRHA,SHARE_GPR,N10,SHARE_GPRH,N3H,GPRH_NOEW,GPR_NOEW,GPRH_AND,GPR_AND,GPRH_BASIC,GPR_BASIC,SHAREH_CAT_1,SHAREH_CAT_2,SHAREH_CAT_3,SHAREH_CAT_4,SHAREH_CAT_5,SHAREH_CAT_6,SHAREH_CAT_7,SHAREH_CAT_8,GPRC_ARG,GPRC_AUS,GPRC_BEL,GPRC_BRA,GPRC_CAN,GPRC_CHE,GPRC_CHL,GPRC_CHN,GPRC_COL,GPRC_DEU,GPRC_DNK,GPRC_EGY,GPRC_ESP,GPRC_FIN,GPRC_FRA,GPRC_GBR,GPRC_HKG,GPRC_HUN,GPRC_IDN,GPRC_IND,GPRC_ISR,GPRC_ITA,GPRC_JPN,GPRC_KOR,GPRC_MEX,GPRC_MYS,GPRC_NLD,GPRC_NOR,GPRC_PER,GPRC_PHL,GPRC_POL,GPRC_PRT,GPRC_RUS,GPRC_SAU,GPRC_SWE,GPRC_THA,GPRC_TUN,GPRC_TUR,GPRC_TWN,GPRC_UKR,GPRC_USA,GPRC_VEN,GPRC_VNM,GPRC_ZAF,GPRHC_ARG,GPRHC_AUS,GPRHC_BEL,GPRHC_BRA,GPRHC_CAN,GPRHC_CHE,GPRHC_CHL,GPRHC_CHN,GPRHC_COL,GPRHC_DEU,GPRHC_DNK,GPRHC_EGY,GPRHC_ESP,GPRHC_FIN,GPRHC_FRA,GPRHC_GBR,GPRHC_HKG,GPRHC_HUN,GPRHC_IDN,GPRHC_IND,GPRHC_ISR,GPRHC_ITA,GPRHC_JPN,GPRHC_KOR,GPRHC_MEX,GPRHC_MYS,GPRHC_NLD,GPRHC_NOR,GPRHC_PER,GPRHC_PHL,GPRHC_POL,GPRHC_PRT,GPRHC_RUS,GPRHC_SAU,GPRHC_SWE,GPRHC_THA,GPRHC_TUN,GPRHC_TUR,GPRHC_TWN,GPRHC_UKR,GPRHC_USA,GPRHC_VEN,GPRHC_VNM,GPRHC_ZAF,var_name,var_label
2016-01-01,118.21114349365234,124.23914337158203,109.52909851074219,97.50211334228516,116.34266662597656,90.7303695678711,3.5456061363220215,21576.0,3.5173161029815674,7392,122.07048034667969,131.37001037597656,73.04497528076172,119.09931945800781,170.0581817626953,126.98701477050781,0.28409090638160706,0.06764069199562073,1.2581168413162231,0.6222943663597107,0.5275974273681641,0.2976190447807312,0.2976190447807312,1.3122293949127197,0.013904337771236897,0.10659992694854736,0.18539117276668549,0.11123470216989517,0.24100853502750397,0.1251390427350998,0.00926955882459879,0.6952168941497803,0.004634779412299395,0.47738227248191833,0.07415647059679031,0.17612162232398987,0.055617351084947586,0.013904337771236897,1.0103819370269775,1.0242862701416016,0.04634779319167137,0.055617351084947586,0.1297738254070282,0.22246940433979034,0.2688172161579132,0.17148683965206146,0.27808675169944763,0.47738227248191833,0.07415647059679031,0.055617351084947586,0.09269558638334274,0.01853911764919758,0.00926955882459879,0.023173896595835686,0.05098257213830948,0.013904337771236897,0.7044864892959595,0.5005561709403992,0.1344086080789566,0.03244345635175705,0.0648869127035141,0.384686678647995,0.06025213375687599,0.11123470216989517,2.507415533065796,0.027808675542473793,0.013904337771236897,0.06952168792486191,0.013528138399124146,0.08116883039474487,0.16233766078948975,0.10822510719299316,0.12175324559211731,0.18939393758773804,0.013528138399124146,0.5681818127632141,0.013528138399124146,0.43290042877197266,0.09469696879386902,0.1758657991886139,0.013528138399124146,0.040584415197372437,0.987554132938385,0.5275974273681641,0.05411255359649658,0.05411255359649658,0.16233766078948975,0.25703462958335876,0.24350649118423462,0.1488095223903656,0.28409090638160706,0.43290042877197266,0.13528138399124146,0.09469696879386902,0.05411255359649658,0.02705627679824829,0.0,0.02705627679824829,0.06764069199562073,0.0,0.7169913649559021,0.45995670557022095,0.1758657991886139,0.040584415197372437,0.09469696879386902,0.5546537041664124,0.08116883039474487,0.12175324559211731,3.3955628871917725,0.0,0.040584415197372437,0.040584415197372437,,
2016-02-01,103.74964904785156,91.322021484375,117.58201599121094,84.31517028808594,83.2859878540039,89.14839172363281,3.1118505001068115,20438.0,3.041606903076172,6970,105.6784439086914,110.5731430053711,71.95018005371094,120.60470581054688,144.4699249267578,107.59513854980469,0.2725968360900879,0.014347202144563198,0.9038737416267395,0.45911046862602234,0.3730272650718689,0.44476327300071716,0.659971296787262,0.9038737416267395,0.014678539708256721,0.06360700726509094,0.24464233219623566,0.014678539708256721,0.1957138627767563,0.07339269667863846,0.009785693138837814,0.49907034635543823,0.009785693138837814,0.6605343222618103,0.044035620987415314,0.09785693138837814,0.07828554511070251,0.014678539708256721,0.6311772465705872,0.9492122530937195,0.03914277255535126,0.044035620987415314,0.009785693138837814,0.08317839354276657,0.1712496280670166,0.12232116609811783,0.2054995596408844,0.3571777939796448,0.10764262825250626,0.029357079416513443,0.06360700726509094,0.03914277255535126,0.009785693138837814,0.024464232847094536,0.07339269667863846,0.014678539708256721,1.193854570388794,0.4207848012447357,0.07828554511070251,0.024464232847094536,0.07339269667863846,0.7094627618789673,0.024464232847094536,0.2152852565050125,2.245816707611084,0.024464232847094536,0.004892846569418907,0.03914277255535126,0.0,0.028694404289126396,0.22955523431301117,0.014347202144563198,0.10043041408061981,0.04304160550236702,0.014347202144563198,0.5451936721801758,0.0,0.5882353186607361,0.04304160550236702,0.05738880857825279,0.10043041408061981,0.0,0.760401725769043,0.5882353186607361,0.028694404289126396,0.07173600792884827,0.014347202144563198,0.07173600792884827,0.14347201585769653,0.10043041408061981,0.22955523431301117,0.4160688519477844,0.11477761715650558,0.014347202144563198,0.05738880857825279,0.05738880857825279,0.0,0.04304160550236702,0.11477761715650558,0.014347202144563198,1.3055953979492188,0.34433284401893616,0.11477761715650558,0.0,0.05738880857825279,0.6169297099113464,0.0,0.3156384527683258,2.998565196990967,0.04304160550236702,0.014347202144563198,0.014347202144563198,,
2016-03-01,109.72029113769531,98.02693176269531,127.76814270019531,93.45272827148438,108.57923126220703,87.08402252197266,3.2909328937530518,22091.0,3.3712375164031982,7475,122.25773620605469,124.14441680908203,72.86384582519531,123.21012115478516,179.03359985351562,133.3084259033203,0.3478260934352875,0.06688962876796722,1.04347825050354,0.6020066738128662,0.5618728995323181,0.3344481587409973,0.21404682099819183,1.3645484447479248,0.02716038189828396,0.04526730254292488,0.9732470512390137,0.08600787818431854,0.20822960138320923,0.0769544169306755,0.004526730161160231,0.511520504951477,0.02716038189828396,0.4753066897392273,0.02716038189828396,0.16748902201652527,0.10864152759313583,0.009053460322320461,0.8691322207450867,0.9687203168869019,0.02263365127146244,0.04526730254292488,0.02263365127146244,0.153908833861351,0.20822960138320923,0.13127517700195312,0.23991671204566956,0.4255126416683197,0.1765424907207489,0.018106920644640923,0.19012267887592316,0.04074057191610336,0.018106920644640923,0.05432076379656792,0.04526730254292488,0.018106920644640923,0.7785975933074951,0.23538997769355774,0.06337422132492065,0.0,0.058847494423389435,0.5703680515289307,0.02716038189828396,0.1765424907207489,2.448961019515991,0.018106920644640923,0.01358019094914198,0.04526730254292488,0.05351170524954796,0.040133778005838394,1.0568561553955078,0.06688962876796722,0.05351170524954796,0.040133778005838394,0.01337792631238699,0.5083612203598022,0.01337792631238699,0.5618728995323181,0.040133778005838394,0.17391304671764374,0.1471571922302246,0.01337792631238699,1.0033445358276367,0.5351170301437378,0.02675585262477398,0.08026755601167679,0.02675585262477398,0.1872909665107727,0.2675585150718689,0.1872909665107727,0.3745819330215454,0.52173912525177,0.20066890120506287,0.01337792631238699,0.227424755692482,0.02675585262477398,0.02675585262477398,0.08026755601167679,0.08026755601167679,0.01337792631238699,0.8695651888847351,0.28093644976615906,0.12040133774280548,0.0,0.08026755601167679,0.6287625432014465,0.05351170524954796,0.2541806101799011,3.2775919437408447,0.0,0.040133778005838394,0.02675585262477398,,
2016-04-01,85.22145080566406,80.82244110107422,93.12298583984375,85.37211608886719,93.72856903076172,85.30022430419922,2.5561184883117676,21517.0,3.079735517501831,7111,104.19113159179688,105.59536743164062,66.32963562011719,107.9804458618164,130.18551635742188,93.91316986083984,0.2390662282705307,0.05625087767839432,0.8437631726264954,0.6750105619430542,0.36563071608543396,0.3234425485134125,0.5906342267990112,0.9562649130821228,0.04182739183306694,0.06041734293103218,0.46010130643844604,0.03717990592122078,0.14407213032245636,0.03717990592122078,0.0,0.3625040650367737,0.01858995296061039,0.30673420429229736,0.02788492850959301,0.12548217177391052,0.0464748814702034,0.013942464254796505,0.7250081300735474,0.8969652056694031,0.03717990592122078,0.013942464254796505,0.0232374407351017,0.13477715849876404,0.18125203251838684,0.14871962368488312,0.25096434354782104,0.26025933027267456,0.08365478366613388,0.03717990592122078,0.07900729775428772,0.03717990592122078,0.004647488240152597,0.06041734293103218,0.0697123184800148,0.02788492850959301,0.7761304974555969,0.2788492739200592,0.03717990592122078,0.004647488240152597,0.02788492850959301,0.3160291910171509,0.009294976480305195,0.20448946952819824,2.012362241744995,0.01858995296061039,0.01858995296061039,0.013942464254796505,0.07031359523534775,0.05625087767839432,0.562508761882782,0.01406271941959858,0.08437632024288177,0.02812543883919716,0.0,0.3796934187412262,0.01406271941959858,0.35156798362731934,0.02812543883919716,0.18281535804271698,0.07031359523534775,0.01406271941959858,0.8718886375427246,0.7031359672546387,0.02812543883919716,0.02812543883919716,0.01406271941959858,0.1406271904706955,0.281254380941391,0.18281535804271698,0.3796934187412262,0.4218815863132477,0.1406271904706955,0.02812543883919716,0.0984390377998352,0.05625087767839432,0.0,0.08437632024288177,0.12656447291374207,0.02812543883919716,0.9422022104263306,0.36563071608543396,0.02812543883919716,0.0,0.04218816012144089,0.46406975388526917,0.01406271941959858,0.2390662282705307,3.051610231399536,0.01406271941959858,0.05625087767839432,0.0,,
2016-05-01,88.3324203491211,84.46136474609375,93.63965606689453,77.35427856445312,84.60981750488281,73.39326477050781,2.649428606033325,21967.0,2.7904980182647705,6988,103.13721466064453,122.12577056884766,62.892513275146484,117.08540344238281,121.78587341308594,107.00524139404297,0.3148254156112671,0.028620492666959763,0.9301660060882568,0.3148254156112671,0.25758442282676697,0.30051517486572266,0.42930737137794495,0.901545524597168,0.031865980476140976,0.054627396166324615,0.36418265104293823,0.04552283138036728,0.17753903567790985,0.027313698083162308,0.009104565717279911,0.44612371921539307,0.009104565717279911,0.4006009101867676,0.013656849041581154,0.3095552325248718,0.06828424334526062,0.018209131434559822,0.7875449657440186,1.0106067657470703,0.018209131434559822,0.02276141569018364,0.027313698083162308,0.08194109052419662,0.13656848669052124,0.18209132552146912,0.23671871423721313,0.25037556886672974,0.1001502275466919,0.027313698083162308,0.06373196095228195,0.027313698083162308,0.0045522828586399555,0.10470250993967056,0.08649337291717529,0.04552283138036728,0.655528724193573,0.24582327902317047,0.018209131434559822,0.031865980476140976,0.07738880813121796,0.3095552325248718,0.018209131434559822,0.1411207765340805,1.9210634231567383,0.031865980476140976,0.06373196095228195,0.02276141569018364,0.10017172247171402,0.042930737137794495,0.2289639413356781,0.11448197066783905,0.11448197066783905,0.028620492666959763,0.014310246333479881,0.5294790863990784,0.014310246333479881,0.3291356563568115,0.0,0.3291356563568115,0.042930737137794495,0.0,0.6725815534591675,0.5724098682403564,0.0,0.028620492666959763,0.028620492666959763,0.057240985333919525,0.1431024670600891,0.17172294855117798,0.2718946635723114,0.3577561676502228,0.15741270780563354,0.028620492666959763,0.057240985333919525,0.0,0.014310246333479881,0.1431024670600891,0.10017172247171402,0.028620492666959763,0.7155123353004456,0.3291356563568115,0.014310246333479881,0.08586147427558899,0.057240985333919525,0.34344589710235596,0.057240985333919525,0.1431024670600891,2.704636573791504,0.042930737137794495,0.20034344494342804,0.014310246333479881,,
2016-06-01,90.16812896728516,80.51286315917969,100.85737609863281,74.2213134765625,70.72409057617188,80.73233032226562,2.704488515853882,21187.0,2.677478551864624,6536,104.31514739990234,126.38245391845703,62.91918182373047,122.07559204101562,143.1294403076172,116.41473388671875,0.15299877524375916,0.015299877151846886,0.7190942764282227,0.2600979208946228,0.3824969530105591,0.3824969530105591,0.2600979208946228,1.1321909427642822,0.009439750574529171,0.08495775610208511,0.3823099136352539,0.014159626327455044,0.16519564390182495,0.028319252654910088,0.018879501149058342,0.30207201838493347,0.014159626327455044,0.35871052742004395,0.04719875380396843,0.13215650618076324,0.10855713486671448,0.023599376901984215,0.6607825756072998,1.0383726358413696,0.009439750574529171,0.03303912654519081,0.03303912654519081,0.10855713486671448,0.19823476672172546,0.16519564390182495,0.14631614089012146,0.16991551220417023,0.0707981288433075,0.028319252654910088,0.08023788034915924,0.11327701061964035,0.0047198752872645855,0.0519186295568943,0.08967763185501099,0.04719875380396843,0.54278564453125,0.16991551220417023,0.04719875380396843,0.018879501149058342,0.056638505309820175,0.4672676622867584,0.009439750574529171,0.10855713486671448,1.7746731042861938,0.0519186295568943,0.018879501149058342,0.028319252654910088,0.0,0.015299877151846886,0.32129743695259094,0.0,0.10709914565086365,0.015299877151846886,0.03059975430369377,0.3059975504875183,0.03059975430369377,0.32129743695259094,0.03059975430369377,0.15299877524375916,0.06119950860738754,0.03059975430369377,0.7190942764282227,0.48959606885910034,0.03059975430369377,0.045899633318185806,0.0,0.19889840483665466,0.24479803442955017,0.22949816286563873,0.18359853327274323,0.22949816286563873,0.07649938762187958,0.0,0.07649938762187958,0.07649938762187958,0.0,0.045899633318185806,0.10709914565086365,0.015299877151846886,0.6272949576377869,0.2141982913017273,0.09179926663637161,0.0,0.03059975430369377,0.5048959851264954,0.015299877151846886,0.06119950860738754,2.5703794956207275,0.07649938762187958,0.06119950860738754,0.015299877151846886,,
2016-07-01,114.6104507446289,97.0980453491211,145.14874267578125,90.43106079101562,82.4276351928711,109.31305694580078,3.437607526779175,20363.0,3.262233257293701,7173,122.58216094970703,133.83786010742188,63.13043975830078,119.96354675292969,179.3258514404297,149.14492797851562,0.25094103813171387,0.02788233570754528,0.710999608039856,0.390352725982666,0.48794087767601013,0.4461173713207245,0.3067057132720947,1.6311166286468506,0.03437607362866402,0.10312822461128235,0.3830476701259613,0.03928694128990173,0.25045424699783325,0.04419780895113945,0.004910867661237717,0.3781368136405945,0.019643470644950867,0.6482345461845398,0.0294652059674263,0.18170210719108582,0.17188036441802979,0.04419780895113945,1.0705691576004028,1.0853017568588257,0.03928694128990173,0.04910867661237717,0.0294652059674263,0.27500858902931213,0.27500858902931213,0.19643470644950867,0.2700977325439453,0.2651868462562561,0.07857388257980347,0.04910867661237717,0.10803908854722977,0.04910867661237717,0.004910867661237717,0.07857388257980347,0.27991947531700134,0.03928694128990173,0.756273627281189,0.19152383506298065,0.04419780895113945,0.03437607362866402,0.16696950793266296,0.8201149106025696,0.0294652059674263,0.18170210719108582,2.4603447914123535,0.019643470644950867,0.01473260298371315,0.0294652059674263,0.041823506355285645,0.12547051906585693,0.32064688205718994,0.041823506355285645,0.20911751687526703,0.0975881814956665,0.0,0.390352725982666,0.01394116785377264,0.6273525953292847,0.05576467141509056,0.13941168785095215,0.23699985444545746,0.041823506355285645,1.0734699964523315,0.8643524050712585,0.041823506355285645,0.041823506355285645,0.02788233570754528,0.3764115571975708,0.3067057132720947,0.2648822069168091,0.2927645444869995,0.2927645444869995,0.06970584392547607,0.08364701271057129,0.11152934283018112,0.06970584392547607,0.01394116785377264,0.08364701271057129,0.2788233757019043,0.01394116785377264,0.8085877299308777,0.2927645444869995,0.041823506355285645,0.041823506355285645,0.25094103813171387,0.7946466207504272,0.02788233570754528,0.195176362991333,3.164645195007324,0.0,0.041823506355285645,0.01394116785377264,,
2016-08-01,98.73848724365234,82.44046783447266,121.45369720458984,79.6497802734375,77.62066650390625,85.16445922851562,2.9615464210510254,19348.0,2.8733065128326416,6717,107.08373260498047,110.31494903564453,61.10688781738281,109.77949523925781,135.8874969482422,109.35615539550781,0.25308918952941895,0.014887598343193531,0.7741551399230957,0.38707756996154785,0.2977519631385803,0.4466279447078705,0.5210659503936768,0.8783683180809021,0.025842463597655296,0.05685342103242874,0.20673970878124237,0.020673971623182297,0.20673970878124237,0.07752739638090134,0.010336985811591148,0.28943559527397156,0.041347943246364594,0.3462890088558197,0.020673971623182297,0.10853835195302963,0.10336985439062119,0.025842463597655296,0.6667355895042419,0.754599928855896,0.020673971623182297,0.020673971623182297,0.031010957434773445,0.12921231985092163,0.10336985439062119,0.14471779763698578,0.13954930007457733,0.14988629519939423,0.05168492719531059,0.031010957434773445,0.07235889881849289,0.031010957434773445,0.010336985811591148,0.04651643708348274,0.06202191486954689,0.005168492905795574,0.9354972243309021,0.20157122611999512,0.04651643708348274,0.041347943246364594,0.020673971623182297,0.5995451807975769,0.005168492905795574,0.2532561421394348,2.1500930786132812,0.020673971623182297,0.041347943246364594,0.036179449409246445,0.014887598343193531,0.04466279596090317,0.16376358270645142,0.029775196686387062,0.11910078674554825,0.07443799078464508,0.029775196686387062,0.2977519631385803,0.07443799078464508,0.2679767608642578,0.04466279596090317,0.19353878498077393,0.08932559192180634,0.014887598343193531,0.6252791285514832,0.5657287240028381,0.014887598343193531,0.0,0.059550393372774124,0.19353878498077393,0.16376358270645142,0.07443799078464508,0.17865118384361267,0.25308918952941895,0.07443799078464508,0.059550393372774124,0.08932559192180634,0.029775196686387062,0.014887598343193531,0.07443799078464508,0.059550393372774124,0.014887598343193531,1.0123567581176758,0.2679767608642578,0.11910078674554825,0.04466279596090317,0.059550393372774124,0.6997171640396118,0.014887598343193531,0.3126395642757416,2.7690932750701904,0.014887598343193531,0.11910078674554825,0.029775196686387062,,
2016-09-01,104.54522705078125,95.48959350585938,121.15049743652344,94.0345458984375,110.1596450805664,92.70452117919922,3.1357128620147705,19836.0,3.392226219177246,7075,130.3922576904297,122.18842315673828,65.55787658691406,107.09477996826172,171.70924377441406,127.4896011352539,0.2826855182647705,0.08480565249919891,0.9328621625900269,0.7632508873939514,0.4946996569633484,0.3957597315311432,0.4664310812950134,1.1448763608932495,0.005041338969022036,0.1361161470413208,0.14115749299526215,0.020165355876088142,0.1461988240480423,0.02520669437944889,0.010082677938044071,0.5847952961921692,0.035289373248815536,0.2722322940826416,0.020165355876088142,0.10586811602115631,0.060496069490909576,0.010082677938044071,0.6049606800079346,0.851986289024353,0.040330711752176285,0.035289373248815536,0.035289373248815536,0.17644686996936798,0.16132284700870514,0.07057874649763107,0.30752167105674744,0.44363781809806824,0.15124017000198364,0.05545472726225853,0.08570276200771332,0.04537205025553703,0.020165355876088142,0.10586811602115631,0.040330711752176285,0.010082677938044071,1.0485985279083252,0.3226456940174103,0.02520669437944889,0.05041338875889778,0.02520669437944889,0.4738858640193939,0.020165355876088142,0.15124017000198364,2.6114134788513184,0.010082677938044071,0.04537205025553703,0.030248034745454788,0.0,0.16961130499839783,0.1837455779314041,0.02826855145394802,0.14134275913238525,0.01413427572697401,0.02826855145394802,0.7349823117256165,0.08480565249919891,0.3109540641307831,0.01413427572697401,0.15547703206539154,0.04240282624959946,0.0,0.7915194630622864,0.6501767039299011,0.04240282624959946,0.02826855145394802,0.08480565249919891,0.1837455779314041,0.24028268456459045,0.08480565249919891,0.42402827739715576,0.6219081282615662,0.24028268456459045,0.04240282624959946,0.08480565249919891,0.02826855145394802,0.01413427572697401,0.0989399328827858,0.05653710290789604,0.01413427572697401,1.2862191200256348,0.3674911558628082,0.02826855145394802,0.04240282624959946,0.02826855145394802,0.5936395525932312,0.02826855145394802,0.16961130499839783,3.307420492172241,0.01413427572697401,0.12720848619937897,0.02826855145394802,,
2016-10-01,85.74778747558594,79.64808654785156,100.30767822265625,77.68973541259766,72.04550170898438,92.1394271850586,2.5719053745269775,20374.0,2.8025994300842285,7386,101.48277282714844,93.14578247070312,60.45981216430664,95.48287200927734,114.34378814697266,89.99288177490234,0.27078256011009216,0.1624695360660553,0.636339008808136,0.23016518354415894,0.2978608310222626,0.3655564486980438,0.8123477101325989,0.8123477101325989,0.019632864743471146,0.03926572948694229,0.27486011385917664,0.029449298977851868,0.14724649488925934,0.11779719591140747,0.009816432371735573,0.2650436758995056,0.15215471386909485,0.3484833538532257,0.029449298977851868,0.1325218379497528,0.14233827590942383,0.029449298977851868,0.6429763436317444,0.7804064154624939,0.024541081860661507,0.04908216372132301,0.004908216185867786,0.16687935590744019,0.09816432744264603,0.11779719591140747,0.0883478969335556,0.11288897693157196,0.10798075795173645,0.009816432371735573,0.07362324744462967,0.058898597955703735,0.009816432371735573,0.053990378975868225,0.07853145897388458,0.019632864743471146,0.9963679313659668,0.289584755897522,0.029449298977851868,0.019632864743471146,0.024541081860661507,0.41229018568992615,0.014724649488925934,0.2503190338611603,1.997644066810608,0.0441739484667778,0.019632864743471146,0.029449298977851868,0.027078256011009216,0.027078256011009216,0.27078256011009216,0.040617384016513824,0.09477389603853226,0.1624695360660553,0.027078256011009216,0.25724342465400696,0.1624695360660553,0.3113999366760254,0.040617384016513824,0.1760086715221405,0.1489304155111313,0.013539128005504608,0.8123477101325989,0.6498781442642212,0.013539128005504608,0.06769564002752304,0.0,0.24370430409908295,0.13539128005504608,0.1624695360660553,0.06769564002752304,0.13539128005504608,0.13539128005504608,0.013539128005504608,0.06769564002752304,0.09477389603853226,0.013539128005504608,0.06769564002752304,0.06769564002752304,0.027078256011009216,0.9612780809402466,0.37909558415412903,0.06769564002752304,0.040617384016513824,0.05415651202201843,0.46033036708831787,0.027078256011009216,0.1624695360660553,2.7078256607055664,0.06769564002752304,0.05415651202201843,0.05415651202201843,,
