date,GPR,GPR_Threats,GPR_Acts
2021-01-01,65.27227020263672,81.41390991210938,32.53567886352539
2021-01-02,39.43532943725586,39.35005569458008,47.176734924316406
2021-01-03,19.037744522094727,31.66096305847168,0.0
2021-01-04,99.32736206054688,107.37196350097656,108.92378997802734
2021-01-05,121.8519515991211,150.10919189453125,71.98629760742188
2021-01-06,106.57054138183594,169.8487548828125,35.41416931152344
2021-01-07,54.23599624633789,76.32125854492188,24.954946517944336
2021-01-08,77.7395248413086,86.19047546386719,51.66682815551758
2021-01-09,84.59059143066406,118.17074584960938,26.98567008972168
2021-01-10,70.81498718261719,78.51317596435547,78.44112396240234
2021-01-11,84.14276123046875,110.4747543334961,35.319480895996094
2021-01-12,169.87527465820312,181.6156463623047,169.3523712158203
2021-01-13,66.500732421875,55.29743957519531,74.58304595947266
2021-01-14,62.11064529418945,68.86259460449219,41.27964019775391
2021-01-15,57.96993637084961,75.74885559082031,49.53556823730469
2021-01-16,72.01234436035156,108.87366485595705,19.579275131225582
2021-01-17,71.32322692871094,105.435546875,15.800819396972656
2021-01-18,94.48599243164062,129.40621948242188,55.408912658691406
2021-01-19,66.66802978515625,76.22526550292969,49.84711456298828
2021-01-20,87.48678588867188,132.2690887451172,23.78658676147461
2021-01-21,47.43533706665039,52.59196090698242,39.40777206420898
2021-01-22,93.7134780883789,101.64220428466795,73.115234375
2021-01-23,56.42650604248047,93.84081268310548,26.47191429138184
2021-01-24,34.06239318847656,28.323945999145508,33.95754623413086
2021-01-25,140.4451141357422,185.2444000244141,96.56056213378906
2021-01-26,50.25387191772461,76.61072540283203,8.349864959716797
2021-01-27,68.84309387207031,60.612552642822266,72.6683120727539
2021-01-28,112.78604125976562,166.72911071777344,41.64402770996094
2021-01-29,63.216941833496094,91.11589813232422,16.80596160888672
2021-01-30,61.91715240478516,80.08941650390625,27.434030532836918
2021-01-31,23.888710021972656,26.485614776611328,15.876785278320312
2021-02-01,60.04654312133789,83.21763610839844,29.930856704711918
2021-02-02,192.34263610839844,248.7938995361328,144.8782196044922
2021-02-03,69.92227935791016,101.7494888305664,43.56690216064453
2021-02-04,78.18482208251953,116.33929443359376,24.61394691467285
2021-02-05,106.44497680664062,106.21480560302734,101.87264251708984
2021-02-06,63.06491470336914,82.80071258544922,33.08989334106445
2021-02-07,48.476600646972656,40.30981063842773,48.32738494873047
2021-02-08,72.8036880493164,68.10586547851562,63.50714111328125
2021-02-09,61.26280975341797,50.94194412231445,69.79913330078125
2021-02-10,74.92713165283203,104.93347930908205,39.31394577026367
2021-02-11,63.45914840698242,70.35769653320312,50.61105346679688
2021-02-12,73.32506561279297,107.59780883789062,34.39970016479492
2021-02-13,36.62135314941406,38.7568359375,39.82759475708008
2021-02-14,25.286775588989254,28.03566169738769,16.80596160888672
2021-02-15,61.24074935913086,64.81185913085938,44.40163040161133
2021-02-16,91.76087188720705,91.5624542236328,82.33058166503906
2021-02-17,104.36856842041016,128.29196166992188,54.285552978515625
2021-02-18,33.67285919189453,56.00007629394531,8.392302513122559
2021-02-19,85.1559829711914,127.457763671875,25.46816062927246
2021-02-20,23.758169174194336,33.866851806640625,6.767153739929199
2021-02-21,37.47248458862305,37.39145660400391,44.82857131958008
2021-02-22,71.28911590576172,118.55826568603516,0.0
2021-02-23,97.42845916748048,103.1097640991211,79.46882629394531
2021-02-24,77.84101867675781,107.87873840332033,34.48951721191406
2021-02-25,46.18281936645508,62.84039306640625,25.11308860778809
2021-02-26,121.14055633544922,166.72911071777344,83.28805541992188
